control_id,family,family_name,cspm_scope,title
3.1.8,3.1,Access Control,yes,Limit unsuccessful logon attempts.
3.1.9,3.1,Access Control,yes,Provide privacy and security notices consistent with applicable CUI rules.
3.1.10,3.1,Access Control,yes,Use session lock with pattern-hiding displays to prevent access and viewing of data after a period of inactivity.
3.1.11,3.1,Access Control,yes,Terminate (automatically) a user session after a defined condition.
3.1.15,3.1,Access Control,yes,Authorize remote execution of privileged commands and remote access to security-relevant information.
3.1.16,3.1,Access Control,yes,Authorize wireless access prior to allowing such connections.
3.1.17,3.1,Access Control,yes,Protect wireless access using authentication and encryption.
3.1.18,3.1,Access Control,yes,Control connection of mobile devices.
3.1.19,3.1,Access Control,yes,Encrypt CUI on mobile devices and mobile computing platforms.
3.1.21,3.1,Access Control,yes,Limit use of portable storage devices on external systems.
3.1.22,3.1,Access Control,yes,Control CUI posted or processed on publicly accessible systems.
3.3.6,3.3,Audit and Accountability,yes,Provide audit record reduction and report generation to support on-demand analysis and reporting.
3.3.7,3.3,Audit and Accountability,yes,Provide a system capability that compares and synchronizes internal system clocks with an authoritative source to generate time stamps for audit records.
3.3.9,3.3,Audit and Accountability,yes,Limit management of audit logging functionality to a subset of privileged users.
3.4.3,3.4,Configuration Management,yes,"Track, review, approve or disapprove, and log changes to organizational systems."
3.4.4,3.4,Configuration Management,yes,Analyze the security impact of changes prior to implementation.
3.4.5,3.4,Configuration Management,yes,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to organizational systems."
3.4.8,3.4,Configuration Management,yes,"Apply deny-by-exception (blacklisting) policy to prevent the use of unauthorized software or deny-all, permit-by-exception (whitelisting) policy to allow the execution of authorized software."
3.5.1,3.5,Identification and Authentication,yes,"Identify system users, processes acting on behalf of users, and devices."
3.5.4,3.5,Identification and Authentication,yes,Employ replay-resistant authentication mechanisms for network access to privileged and non- privileged accounts.
3.5.9,3.5,Identification and Authentication,yes,Allow temporary password use for system logons with an immediate change to a permanent password.
3.5.11,3.5,Identification and Authentication,yes,Obscure feedback of authentication information.
3.6.3,3.6,Incident Response,partial,Test the organizational incident response capability.
3.7.1,3.7,Maintenance,partial,Perform maintenance on organizational systems. 
3.7.2,3.7,Maintenance,partial,"Provide controls on the tools, techniques, mechanisms, and personnel used to conduct system maintenance."
3.7.3,3.7,Maintenance,partial,Ensure equipment removed for off-site maintenance is sanitized of any CUI.
3.7.4,3.7,Maintenance,partial,Check media containing diagnostic and test programs for malicious code before the media are used in organizational systems.
3.7.5,3.7,Maintenance,partial,Require multifactor authentication to establish nonlocal maintenance sessions via external network connections and terminate such connections when nonlocal maintenance is complete.
3.7.6,3.7,Maintenance,partial,Supervise the maintenance activities of maintenance personnel without required access authorization.
3.8.1,3.8,Media Protection,partial,"Protect (i.e., physically control and securely store) system media containing CUI, both paper and digital."
3.8.2,3.8,Media Protection,partial,Limit access to CUI on system media to authorized users.
3.8.3,3.8,Media Protection,partial,Sanitize or destroy system media containing CUI before disposal or release for reuse.
3.8.4,3.8,Media Protection,partial,Mark media with necessary CUI markings and distribution limitations.
3.8.5,3.8,Media Protection,partial,Control access to media containing CUI and maintain accountability for media during transport outside of controlled areas.
3.8.6,3.8,Media Protection,partial,Implement cryptographic mechanisms to protect the confidentiality of CUI stored on digital media during transport unless otherwise protected by alternative physical safeguards.
3.8.7,3.8,Media Protection,partial,Control the use of removable media on system components.
3.8.8,3.8,Media Protection,partial,Prohibit the use of portable storage devices when such devices have no identifiable owner.
3.8.9,3.8,Media Protection,partial,Protect the confidentiality of backup CUI at storage locations.
3.12.1,3.12,Security Assessment,partial,Periodically assess the security controls in organizational systems to determine if the controls are effective in their application.
3.12.2,3.12,Security Assessment,partial,Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities in organizational systems.
3.12.3,3.12,Security Assessment,partial,Monitor security controls on an ongoing basis to ensure the continued effectiveness of the controls.
3.13.7,3.13,System and Communications Protection,yes,"Prevent remote devices from simultaneously establishing non-remote connections with organizational systems and communicating via some other connection to resources in external networks (i.e., split tunneling)."
3.13.9,3.13,System and Communications Protection,yes,Terminate network connections associated with communications sessions at the end of the sessions or after a defined period of inactivity.
3.13.10,3.13,System and Communications Protection,yes,Establish and manage cryptographic keys for cryptography employed in organizational systems.
3.13.12,3.13,System and Communications Protection,yes,Prohibit remote activation of collaborative computing devices and provide indication of devices in use to users present at the device.
3.13.13,3.13,System and Communications Protection,yes,Control and monitor the use of mobile code.
3.13.14,3.13,System and Communications Protection,yes,Control and monitor the use of Voice over Internet Protocol (VoIP) technologies.
3.14.5,3.14,System and Information Integrity,yes,"Perform periodic scans of organizational systems and real-time scans of files from external sources as files are downloaded, opened, or executed."
